epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,4729.94,0.26846,0.34709,0.18534,0.9202,0.98375,0.98497,0.99392,0.95722,0.98679,0.98859,0.99409,0.95912,0.2757,0.28357,0.20166,0.69509,0.000308412,0.000308412,0.000308412
65,4804.7,0.26075,0.34619,0.178,0.91673,0.98389,0.98196,0.99375,0.95796,0.98442,0.98805,0.99406,0.95824,0.26948,0.28249,0.19603,0.6904,0.000294239,0.000294239,0.000294239
66,4878.57,0.26181,0.34442,0.17757,0.91749,0.98497,0.98512,0.99396,0.95869,0.98799,0.9894,0.99419,0.95914,0.26852,0.28362,0.19565,0.68867,0.000280275,0.000280275,0.000280275
67,4952.11,0.25648,0.34457,0.17389,0.91388,0.98193,0.98677,0.99387,0.95944,0.98445,0.98996,0.99411,0.95976,0.27725,0.2833,0.20702,0.70353,0.000266532,0.000266532,0.000266532
68,5025.75,0.25768,0.34082,0.17408,0.91643,0.98436,0.98394,0.99376,0.95815,0.9814,0.99459,0.99403,0.95924,0.27814,0.28169,0.20836,0.70498,0.000253024,0.000253024,0.000253024
69,5099.41,0.2536,0.33563,0.17193,0.91378,0.9817,0.98617,0.9937,0.95906,0.98624,0.99113,0.99412,0.95885,0.27553,0.28134,0.20623,0.70344,0.000239766,0.000239766,0.000239766
70,5172.97,0.25314,0.33921,0.16839,0.9121,0.97958,0.98857,0.99375,0.95947,0.9844,0.99339,0.99419,0.95895,0.27527,0.2814,0.2072,0.70567,0.000226769,0.000226769,0.000226769
71,5246.85,0.25162,0.33389,0.16708,0.9124,0.98146,0.98689,0.99378,0.959,0.9866,0.99098,0.99414,0.9595,0.28062,0.28114,0.21384,0.71645,0.000214046,0.000214046,0.000214046
72,5320.25,0.25008,0.33148,0.16671,0.91213,0.97888,0.98857,0.99374,0.95979,0.98364,0.99339,0.99414,0.95926,0.27992,0.28027,0.21226,0.71668,0.000201611,0.000201611,0.000201611
73,5394.11,0.25105,0.33773,0.16573,0.9115,0.97969,0.98631,0.99372,0.95981,0.98319,0.99218,0.99412,0.95927,0.28111,0.28017,0.21292,0.71744,0.000189475,0.000189475,0.000189475
74,5468.28,0.24937,0.33353,0.16443,0.90773,0.9778,0.98978,0.99368,0.96023,0.98239,0.99399,0.99414,0.96011,0.2819,0.2803,0.21304,0.71838,0.000177651,0.000177651,0.000177651
75,5543,0.24595,0.32828,0.16272,0.91003,0.9804,0.98797,0.99366,0.95919,0.98677,0.99158,0.99416,0.95979,0.2812,0.28063,0.21239,0.71757,0.000166149,0.000166149,0.000166149
76,5616.65,0.24542,0.32685,0.15909,0.90869,0.98032,0.98838,0.99359,0.96059,0.98625,0.99175,0.99415,0.95998,0.27947,0.28047,0.21239,0.71584,0.000154982,0.000154982,0.000154982
77,5690.53,0.24586,0.33009,0.15823,0.90851,0.97972,0.98765,0.9936,0.96064,0.98657,0.98978,0.9941,0.95999,0.27798,0.28094,0.2129,0.71483,0.000144161,0.000144161,0.000144161
78,5764.4,0.24049,0.32297,0.15614,0.90698,0.98318,0.9842,0.99367,0.96059,0.98334,0.99361,0.9941,0.96022,0.27629,0.28075,0.21208,0.71298,0.000133695,0.000133695,0.000133695
79,5838.17,0.24403,0.33159,0.15809,0.90794,0.98226,0.98437,0.99363,0.96033,0.98726,0.98978,0.99412,0.96024,0.27756,0.28061,0.21193,0.71339,0.000123596,0.000123596,0.000123596
80,5911.83,0.24204,0.32468,0.15505,0.90803,0.9826,0.98483,0.99372,0.96112,0.98361,0.99399,0.99412,0.96056,0.27869,0.28096,0.21064,0.71429,0.000113873,0.000113873,0.000113873
81,5985.43,0.24159,0.32991,0.15467,0.90773,0.98251,0.98497,0.99376,0.9612,0.98542,0.99218,0.99414,0.96059,0.28124,0.2812,0.21149,0.71751,0.000104537,0.000104537,0.000104537
82,6059.36,0.23709,0.32042,0.1541,0.90461,0.98493,0.98225,0.99379,0.96114,0.98508,0.99271,0.99414,0.96077,0.2817,0.28103,0.21029,0.71835,9.55951e-05,9.55951e-05,9.55951e-05
